metric,count,avg,std,min,median,t90,p95,p99,max
e2e_ms_phase_b,30,3311.0054,4.306963716491268,3302.289,3310.3810000000003,3315.7785000000003,3318.762,3318.762,3318.762
ttft_ms_phase_b,30,86.22739999999999,33.54930682114476,35.634,98.9815,121.54390000000001,121.822,121.822,121.822
tpot_ms_phase_b,30,11.524458700000002,0.008200633113279851,11.513592,11.523892,11.534131299999999,11.542729,11.542729,11.542729
prefill_time_ms_phase_b,30,18.763899999999996,0.05642165761722958,18.675,18.753,18.839100000000002,18.849,18.849,18.849
ttft_compute_window_ms_phase_b,30,86.07040000000002,33.55005130434436,35.478,98.82300000000001,121.38900000000001,121.668,121.668,121.668
e2e_non_gpu_wall_ms,30,363.4951,4.010585410446061,355.003,364.9655,367.5034,368.011,368.011,368.011
ttft_non_gpu_wall_ms,30,67.5015,33.55038826616385,16.94,80.2345,102.75930000000001,103.185,103.185,103.185
tpot_non_gpu_wall_ms,30,0.039761899999999996,0.0025518638401412974,0.037804,0.0389155,0.041124200000000014,0.047039,0.047039,0.047039
prefill_non_gpu_wall_ms,30,0.03819999999999999,0.0006102571532587299,0.037,0.038,0.039,0.039,0.039,0.039
e2e_non_gpu_wall_ratio,30,0.10978270000000001,0.0010850436873454802,0.107502,0.110212,0.1108349,0.110888,0.110888,0.110888
ttft_non_gpu_wall_ratio,30,0.7316442999999999,0.14116242094350404,0.475394,0.8095695,0.8454499,0.847015,0.847015,0.847015
tpot_non_gpu_wall_ratio,30,0.0034502,0.00021940458612753074,0.003281,0.003378,0.003570100000000001,0.004075,0.004075,0.004075
prefill_non_gpu_wall_ratio,30,0.0020358999999999998,3.4767553244666064e-05,0.001964,0.0020305,0.0020811,0.002082,0.002082,0.002082
queue_ms_phase_b,30,0.15720000000000003,0.002023994002989618,0.155,0.157,0.1601,0.161,0.161,0.161
min_batch_barrier_observed_ms_phase_b,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_non_warmup_num_requests_max,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
first_non_warmup_min_batch_ok_all_ranks,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
raw_to_latency_submit_gap_ms_phase_b,30,0.5059333333333333,0.24851058859468778,0.216,0.478,0.8291,0.8321999999999999,0.834,0.834
raw_e2e_ms_including_barrier_phase_b,30,3311.5114000000003,4.311304375788106,3302.513,3311.023,3316.5141999999996,3319.1239,3319.48353,3319.583
raw_e2ft_ms_including_barrier_phase_b,30,86.73356666666668,33.548119996335195,35.851,99.48750000000001,122.07140000000001,122.31099999999999,122.54507,122.637
prefill_active_thread_count,30,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_edge,30,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
prefill_active_thread_count_sample_p90,30,3.88,0.5473446874653591,3.0,4.0,4.100000000000001,5.0,5.0,5.0
prefill_active_thread_count_union,30,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
prefill_effective_cpu_cores,30,269.66120000000006,220.14594244514723,4.785,393.374,474.68000000000006,515.621,515.621,515.621
decode_active_thread_count_avg,30,3.3777,0.12576912345163693,3.212,3.359,3.5305999999999997,3.545,3.545,3.545
decode_active_thread_count_edge_avg,30,3.3777,0.12576912345163693,3.212,3.359,3.5305999999999997,3.545,3.545,3.545
decode_active_thread_count_sample_p90_avg,30,2.6969000000000003,0.09100183779879727,2.553,2.6734999999999998,2.8127999999999997,2.82,2.82,2.82
decode_active_thread_count_sample_max_peak,30,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
decode_active_thread_count_union_avg,30,3.3777,0.12576912345163693,3.212,3.359,3.5305999999999997,3.545,3.545,3.545
decode_effective_cpu_cores_avg,30,407.59690000000006,27.847687098101936,374.85,397.22249999999997,441.2113,445.561,445.561,445.561
decode_effective_cpu_cores_p90,30,549.0264000000001,35.41881691943442,497.275,542.855,590.7632,599.459,599.459,599.459
decode_effective_cpu_cores_max,30,699.0434,30.706414318790806,636.037,700.8199999999999,718.9217,764.198,764.198,764.198
prefill_total_threads_mean,30,130.6,4.882057226069834,129.0,129.0,130.60000000000002,145.0,145.0,145.0
decode_total_threads_mean_avg,30,130.6,4.882057226069834,129.0,129.0,130.60000000000002,145.0,145.0,145.0
decode_total_threads_max_peak,30,130.6,4.882057226069834,129.0,129.0,130.60000000000002,145.0,145.0,145.0
